Speech,Label
"ওনাদের খাবারের পরিমাণ দেখে আমরা পুরাই অবাক, 550 টাকা করে শুধুমাত্র রাইস এর দাম রেখেছে দুইটা রাইস ১১০০ টাকা ভ্যাট সহ ১২৭০ টাকার মতো পড়েছে , আর চিকেন এর দাম আলাদা ওইটাও ভ্যাট সহ 630 টাকার মত রেখেছে 
আমরা যারা নরমালি রেস্টুরেন্টে খেতে যাই ১২৭০ টাকার রাইস মানে কতটুকু কোয়ান্টিটি হতে পারে আমরা সবাই জানি।। অর্ডার করার আগে ওনাদের জিজ্ঞেস করলাম রাইস এর পরিমান কতটুকু উনারা বলল একটা রাইস দুজন খেতে পারবে ,তো আমরা চারজন ছিলাম ও হিসেবে দুটো নেয়া হয়েছিল যখন ওনারা সার্ভ করলো রাইস এর পরিমান দেখে রীতিমতো মন নষ্ট হয়ে গিয়েছিল
দুইজন তো দূরের কথা যারা নরমালি বেশি খেতে পারে না তাদের জন্য‌ও কম হয়ে যাবে, আর 550 টাকা অনুযায়ী রাইসে আহমরি তেমন কিছুই ছিল, নরমালি রেস্টুরেন্টগুলোতে এইসব রাইসের কোয়ান্টিটি অনুযায়ী দাম থাকে 100 থেকে 120 টাকা, কিন্তু ওনারা 635 টাকা করে রেখেও যেমন কোয়ান্টিটি দিচ্ছে তাতে নিরাশ হওয়া ছাড়া আর কোনো পথ নেই।। শেষে না পেরে আর কি করলাম কিছু ছবি তুলে চলে আসলাম 💔💔
Taste:- 5/10🙂
Service :- 6/10 অনেকবার ডাকার পরেও অর্ডার দেয়ার জন্য কাওকে পাই নি🙂💔",0
করুণ খাবারের মান। বেশি দাম. এটা এতটাই খারাপ যে এটা ভাবা যায় না। বিনামূল্যে পেলেও তা আবার থাকতো না!,0
"বাজে ছিল , খাবার গরম করে দিলে হয়তবা ভাল লাগত ।",0
"তবে সমস্যা যেটা হয়েছে, স্টেক এতই হার্ড ছিলো যে কাটাই যাচ্ছিলো না ঠিকমতো।কোনমতে কাটতে পারলেও তা মুখে নিয়ে চাবাতে চাবাতেই দিনরাত পার হয়ে যাওয়ার মতো অবস্থা।",0
তেহেরি খুব একটা ভালো লাগে নাই।,0
খাবারের মান যথেষ্ট খারাপ। দামের তুলনায় পরিমান অনেক কম। ইফতার প্লাটারের ছবির সাথে বাস্তবের কোন মিল নাই। চোখে দেখা যায় না এমন সাইজের চিকেন বল পেলাম। যাদের টাকা রাখার কোন যায়গা নেই তারা যেতে পারেন।,0
মাংস অনেক শক্ত ছিল।আহামরি কিছুই পেলাম না।নরমাল ই মনে হইছে।গত সপ্তাহে গিয়েছিলাম। ব্যাবহার ভালো ছিল তাদের জাস্ট। আর কিছু না,0
একদম ভালো না।নিজের অভিজ্ঞতা থেকে বলছি।খুলনার আব্বাস এর চুঁইঝাল আর এই হোটেলের চুৃঁইঝাল আকাশ পাতাল।,0
"খেয়েই রিগ্রেট করসি, আমি আব্বাস/কামরুল দুইটারই চুই খাইসিলাম কয়েকবার। এটার ১% ও না এইটা।",0
কাচ্চি ভাই এর চুই এর থেকেও বাজে টেস্টের এটা। ঢাকায় শুধু মাত্র ধানমন্ডির চুই ঝাল রেস্টূরেন্টেই যা একটু জাতের চুই রান্না করতে পারত।,0
