Label,text,clean_text,tokenized_clean_text,tokenized_stem_text,token_length
2.0,পায়েস একটু বাড়ালে আরো ভালো হত,পায়েস একটু বাড়ালে আরো ভালো হতো,"['পায়েস', 'একটু', 'বাড়ালে', 'আরো', 'ভালো', 'হতো']","['পায়েস', 'একটু', 'বাড়ালে', 'আরো', 'ভালো', 'হত']",6
1.0,ফ্রেশ খা দুপুরে খেয়ে মজা পেয়ে,ফ্রেশ খা দুপুরে খেয়ে মজা পেয়েছি,"['ফ্রেশ', 'খা', 'দুপুরে', 'খেয়ে', 'মজা', 'পেয়েছি']","['ফ্রেশ', 'খা', 'দুপুরে', 'খেয়ে', 'মজা', 'পেয়ে']",6
1.0,ঝোলে মাখা ঝরঝরে খিচুড়ি ব্রেডক্রাম্বে মোড়ানো আলুর চপ চি ফ্রা পার্ফেক্ট এক কম্বো,ঝোলে মাখা ঝরঝরে খিচুড়ি ব্রেডক্রাম্বে মোড়ানো আলুর চপ চি ফ্রাই পার্ফেক্ট এক কম্বো,"['ঝোলে', 'মাখা', 'ঝরঝরে', 'খিচুড়ি', 'ব্রেডক্রাম্বে', 'মোড়ানো', 'আলুর', 'চপ', 'চি', 'ফ্রাই', 'পার্ফেক্ট', 'এক', 'কম্বো']","['ঝোলে', 'মাখা', 'ঝরঝরে', 'খিচুড়ি', 'ব্রেডক্রাম্বে', 'মোড়ানো', 'আলুর', 'চপ', 'চি', 'ফ্রা', 'পার্ফেক্ট', 'এক', 'কম্বো']",13
2.0,কালা ভূনা খেত মুটামু,কালা ভূনা খেতে মুটামুটি,"['কালা', 'ভূনা', 'খেতে', 'মুটামুটি']","['কালা', 'ভূনা', 'খেত', 'মুটামু']",4
0.0,ফুসকা চুপসানো ছিল,ফুসকা চুপসানো ছিল,"['ফুসকা', 'চুপসানো', 'ছিল']","['ফুসকা', 'চুপসানো', 'ছিল']",3
2.0,রোস্ট এভারেজ লাগ,রোস্ট এভারেজ লেগেছ,"['রোস্ট', 'এভারেজ', 'লেগেছ']","['রোস্ট', 'এভারেজ', 'লাগ']",3
0.0,একেবারে শুকনা এক লেগ পিস দিছ ব্রেস্ট পিস কথা উল্লেখ দিয়েছি ঝোল বলেছি একটু ঝোল দেয় সালাদ দেয় শুকনা শুকনা খাওয়া লাগ,একেবারে শুকনা একটা লেগ পিস দিছে ব্রেস্ট পিসের কথা উল্লেখ দিয়েছিলাম ঝোল বলেছিলাম একটুও ঝোল দেয় সালাদ দেয় শুকনা শুকনা খাওয়া লাগছে,"['একেবারে', 'শুকনা', 'একটা', 'লেগ', 'পিস', 'দিছে', 'ব্রেস্ট', 'পিসের', 'কথা', 'উল্লেখ', 'দিয়েছিলাম', 'ঝোল', 'বলেছিলাম', 'একটুও', 'ঝোল', 'দেয়', 'সালাদ', 'দেয়', 'শুকনা', 'শুকনা', 'খাওয়া', 'লাগছে']","['একেবারে', 'শুকনা', 'এক', 'লেগ', 'পিস', 'দিছ', 'ব্রেস্ট', 'পিস', 'কথা', 'উল্লেখ', 'দিয়েছি', 'ঝোল', 'বলেছি', 'একটু', 'ঝোল', 'দেয়', 'সালাদ', 'দেয়', 'শুকনা', 'শুকনা', 'খাওয়া', 'লাগ']",22
0.0,পরিমাণ কম দিছ স্বাদ কেমন জানি কমে গেছ,পরিমাণ কম দিছে স্বাদও কেমন জানি কমে গেছে,"['পরিমাণ', 'কম', 'দিছে', 'স্বাদও', 'কেমন', 'জানি', 'কমে', 'গেছে']","['পরিমাণ', 'কম', 'দিছ', 'স্বাদ', 'কেমন', 'জানি', 'কমে', 'গেছ']",8
0.0,ছোলা ভালো না তৈলাক্ত,ছোলা ভালো না তৈলাক্ত,"['ছোলা', 'ভালো', 'না', 'তৈলাক্ত']","['ছোলা', 'ভালো', 'না', 'তৈলাক্ত']",4
0.0,খুব খারাপ খাবা,খুবই খারাপ খাবার,"['খুবই', 'খারাপ', 'খাবার']","['খুব', 'খারাপ', 'খাবা']",3
