Speech,Label
"ব্যাস্ততম  জীবনের  একটু মনরম পরিবেশে  সময় কাটানোর জন্য ঘুরে দেখতে পারেন, মন খারাপের  ভাল লাগার একটা জায়গা। ",1
অসাধারণ পরিবেশ! খুব সুন্দর মার্জিত এবং আন্তরিক ব্যবহার,1
খাবারের মান যথেষ্ট খারাপ। দামের তুলনায় পরিমান অনেক কম। ইফতার প্লাটারের ছবির সাথে বাস্তবের কোন মিল নাই। চোখে দেখা যায় না এমন সাইজের চিকেন বল পেলাম। যাদের টাকা রাখার কোন যায়গা নেই তারা যেতে পারেন।,0
ভালো বহুত খেয়েছি আমার বাসা থেকে একটু দূরে,1
আমি খাইসি খুবই মজার,1
"দয়াল ভান্ডার মিষ্টি চমচম সব গুলা জিনিস আমার অনেক ভাল লাগে, অনেক বার খাইছি",1
মাংস অনেক শক্ত ছিল।আহামরি কিছুই পেলাম না।নরমাল ই মনে হইছে।গত সপ্তাহে গিয়েছিলাম। ব্যাবহার ভালো ছিল তাদের জাস্ট। আর কিছু না,0
একদম ভালো না।নিজের অভিজ্ঞতা থেকে বলছি।খুলনার আব্বাস এর চুঁইঝাল আর এই হোটেলের চুৃঁইঝাল আকাশ পাতাল।,0
"খেয়েই রিগ্রেট করসি, আমি আব্বাস/কামরুল দুইটারই চুই খাইসিলাম কয়েকবার। এটার ১% ও না এইটা।",0
কাচ্চি ভাই এর চুই এর থেকেও বাজে টেস্টের এটা। ঢাকায় শুধু মাত্র ধানমন্ডির চুই ঝাল রেস্টূরেন্টেই যা একটু জাতের চুই রান্না করতে পারত।,0
"মিরপুরের টায় খেয়েছিলাম, আগুন দামে আমাদের গরিবদের খেয়ে পোষাবে না ভাই",0
"আহামরি কিছুই না, এটা আমার মতামত। চুই এর কোন স্পেশাল স্বাদ ও পাই নি।",0
খুলনার চুঁইঝাল খুলনারই আর কোথাও ঐটার তুলনা হয়না। তবে ঝোল আরেকটু ঘন হওয়া উচিত।,0
অনেক তেল,0
হুম কাচ্চি ত অনেক  ভালো কিন্তু আমারে কম দিছে,1
"কোয়ালিটি ভালো ছিলো তবে , ফ্রি একটা কোক দিলে আরো ভালো হতো",1
কাচ্চি ভাল তবে মানের দিকে আরো একটু খেয়াল দিবেন আশাকরি।,1
কাচ্চি টা ভালো ছিলো বিশেষ করে ভালো লাগছে জাফরানি সরবত টা,1
"অল্প দামে মানসম্মত খাবার, ডিম খিচুড়ি নিয়েছিলাম.",1
ডিম খিচুড়ি খুবই ভালো লেগেছে,1
খিচুড়ি তো তেলে পুরা ডুবায়ে দিসে.....,0
"খুব বাজে ,, দাম অনেক বেশি,, এমন টাকায় এর চেয়ে ভাল খাবার খাওয়া যায়,,",0
তেহারিতে তুলনামূলকভাবে মাংস কম এমনিতে মজার ছিল,1
বিফ চাপ নষ্ট ছিল।পচা গন্ধযুক্ত খাবার ছিল,0
"মাটন ঝাল কারি অর্ডার করেছিলাম,টেস্ট ঠিক ছিল,কিন্তু পুরোটাই হাড্ডি।অল্প কিছু মাংস ছিল,তাও শক্ত।",1
চিকেন বিরিয়ানি টা ভালো লাগেনি। মনে হচ্ছিল বাসি খাবার দিয়েছে।,0
জঘন্য তেহারি। পেট খারাপ করে মরার জন্য আদর্শ।,0
"বেশি ঝাল ছিল, ঝাল কম দিবেন",0
এমন ফালতু টেষ্টের স্যুপ বানানো জন্য এদের নোবেল দেওয়া উচিত। তোরা ব্যাবসা কেমনে করতেছিস ভাই। সবাই কে বলছি- আমার মত কেউ বোকা বনে যাবেন না এদের স্যুপ অর্ডার দিয়ে।,0
"পচা, বাসি, দুর্গন্ধ যুক্ত ডাল ভেলিভারি দিয়েছে, যা মুখে দিয়ে সাথে সাথে পুরো টাই ফেলে দিতে হয়েছিল। অনেক দিন ধরেই এই রেস্টুরেন্ট থেকে অর্ডার করি, আর কোন দিন অর্ডার করব না।",0
তেহারী তেল এ ভরা। খেয়ে আমার অবস্থা খারাপ।,0
চিকেন বটি কেউ ভুলেও খাইয়েন না,0
মোটামুটি ভালো ছিল,1
"ভাই সবই ঠিক আছে, কিন্তু ভর্তাগুলার ঝাল একটু কমিয়ে দিলে ভাল হয়।",1
খুবই বাজে। খাবারে বাজে গন্ধ ছিল।,0
"৬ টা ভর্তা অর্ডার করেছিলাম, দিয়েছে ৫টা। তার মধ্যেও মাছ ভর্তা চেন্জ করে নিজেদের পছন্দ মতো টমেটো ভর্তা দিয়ে দিয়েছে। কিন্তু খাবারের স্বাদ মোটামুটি ভালো।",1
ভাজি তে লবণ বেশি,0
"মুগ ডাল থেকে প্রচন্ড ‌‌দুর্গন্ধ আসতেছিলো, ফেলে দিতে হলো। ফুড পান্ডা থেকে অর্ডার করা সবচেয়ে বাজে একটা অভিজ্ঞতা হলো।",0
বাজে,0
