Speech,Label,text,clean_text,tokenized_clean_text,tokenized_stem_text,token_length
সমুচা আরেকটু বেশি দরকার,2,সমুচা আরেকটু দরক,সমুচা আরেকটু দরকার,"['সমুচা', 'আরেকটু', 'দরকার']","['সমুচা', 'আরেকটু', 'দরক']",3
"বাসাবোর কাবাবিস,কাবাব মে হাড্ডি, কাবাব স্টেশন অনেক ভালো",1,বাসাবোর কাবাব কাবাব মে হাড্ডি কাবাব স্টেশন ভালো,বাসাবোর কাবাবিস কাবাব মে হাড্ডি কাবাব স্টেশন ভালো,"['বাসাবোর', 'কাবাবিস', 'কাবাব', 'মে', 'হাড্ডি', 'কাবাব', 'স্টেশন', 'ভালো']","['বাসাবোর', 'কাবাব', 'কাবাব', 'মে', 'হাড্ডি', 'কাবাব', 'স্টেশন', 'ভালো']",8
রোস্ট এভারেজ,2,রোস্ট এভারেজ,রোস্ট এভারেজ,"['রোস্ট', 'এভারেজ']","['রোস্ট', 'এভারেজ']",2
মাছের তরকারি আর আরেক্টু বাড়ালে জমতো,2,মাছ তরকারি আরেক্টু বাড়ালে জম,মাছের তরকারি আরেক্টু বাড়ালে জমতো,"['মাছের', 'তরকারি', 'আরেক্টু', 'বাড়ালে', 'জমতো']","['মাছ', 'তরকারি', 'আরেক্টু', 'বাড়ালে', 'জম']",5
রোস্ট আহামরি কিছু না,2,রোস্ট আহামরি না,রোস্ট আহামরি না,"['রোস্ট', 'আহামরি', 'না']","['রোস্ট', 'আহামরি', 'না']",3
মাংস কোয়ান্টিটি অনেক  কম,0,মাংস কোয়ান্ কম,মাংস কোয়ান্টি কম,"['মাংস', 'কোয়ান্টি', 'কম']","['মাংস', 'কোয়ান্', 'কম']",3
কাচ্চি বেশ ভালো খেতে,1,কাচ্চি ভালো খেত,কাচ্চি ভালো খেতে,"['কাচ্চি', 'ভালো', 'খেতে']","['কাচ্চি', 'ভালো', 'খেত']",3
ডিমের তরকারি ভালো ছিল কিন্তু দামে বেশি,2,ডিম তরকারি ভালো দামে বেশি,ডিমের তরকারি ভালো দামে বেশি,"['ডিমের', 'তরকারি', 'ভালো', 'দামে', 'বেশি']","['ডিম', 'তরকারি', 'ভালো', 'দামে', 'বেশি']",5
স্বাদ খারাপ ছিল। এটা এত নোনতা ছিল টাকার মূল্য সম্পূর্ণ অপচয়।,0,স্বাদ খারাপ নোনতা টাকা মূল্য সম্পূর্ণ অপচয়,স্বাদ খারাপ নোনতা টাকার মূল্য সম্পূর্ণ অপচয়,"['স্বাদ', 'খারাপ', 'নোনতা', 'টাকার', 'মূল্য', 'সম্পূর্ণ', 'অপচয়']","['স্বাদ', 'খারাপ', 'নোনতা', 'টাকা', 'মূল্য', 'সম্পূর্ণ', 'অপচয়']",7
ভাত এভারেজ,2,ভাত এভারেজ,ভাত এভারেজ,"['ভাত', 'এভারেজ']","['ভাত', 'এভারেজ']",2
ডিমের তরকারি খেয়ে আমি তো মুগ্ধ,1,ডিম তরকারি খায় মুগ্ধ,ডিমের তরকারি খেয়ে মুগ্ধ,"['ডিমের', 'তরকারি', 'খেয়ে', 'মুগ্ধ']","['ডিম', 'তরকারি', 'খায়', 'মুগ্ধ']",4
ডাল খুবই বাজে,0,ডাল খুব বাজে,ডাল খুবই বাজে,"['ডাল', 'খুবই', 'বাজে']","['ডাল', 'খুব', 'বাজে']",3
ভাত এভারেজ,2,ভাত এভারেজ,ভাত এভারেজ,"['ভাত', 'এভারেজ']","['ভাত', 'এভারেজ']",2
দুধ  একদম বাজে,0,দুধ একদম বাজে,দুধ একদম বাজে,"['দুধ', 'একদম', 'বাজে']","['দুধ', 'একদম', 'বাজে']",3
মনে হইল চিকেন ছাড়া চিকেন বিরিয়ানি খাইলাম,0,হইল চি ছাড়া চি বিরিয়ানি খাই, হইল চি ছাড়া চি বিরিয়ানি খাইলাম,"['হইল', 'চি', 'ছাড়া', 'চি', 'বিরিয়ানি', 'খাইলাম']","['হইল', 'চি', 'ছাড়া', 'চি', 'বিরিয়ানি', 'খাই']",6
"বোরহানি অর্ডার করেছিলাম,কেমন যেন একটা গন্ধ",0,বোরহানি অর্ড করেছি কেমন এক গন্ধ,বোরহানি অর্ডার করেছিলাম কেমন একটা গন্ধ,"['বোরহানি', 'অর্ডার', 'করেছিলাম', 'কেমন', 'একটা', 'গন্ধ']","['বোরহানি', 'অর্ড', 'করেছি', 'কেমন', 'এক', 'গন্ধ']",6
কমলা বেশ বাজে খেতে,0,কমলা বাজে খেত,কমলা বাজে খেতে,"['কমলা', 'বাজে', 'খেতে']","['কমলা', 'বাজে', 'খেত']",3
পায়েস আহামরি বেশি না,2,পায়েস আহামরি না,পায়েস আহামরি না,"['পায়েস', 'আহামরি', 'না']","['পায়েস', 'আহামরি', 'না']",3
"চিটার রেস্টুরেন্ট, হাফ চিকেনের কথা বলে ২ টা লেগ পিস দিছে",0,চিটা রেস্টুরেন্ট হাফ চিকেনের কথা লেগ পিস দিছ,চিটার রেস্টুরেন্ট হাফ চিকেনের কথা লেগ পিস দিছে,"['চিটার', 'রেস্টুরেন্ট', 'হাফ', 'চিকেনের', 'কথা', 'লেগ', 'পিস', 'দিছে']","['চিটা', 'রেস্টুরেন্ট', 'হাফ', 'চিকেনের', 'কথা', 'লেগ', 'পিস', 'দিছ']",8
ডিমের তরকারি পরিমাণে মাঝারি ,2,ডিম তরকারি পরিমাণে মাঝারি,ডিমের তরকারি পরিমাণে মাঝারি,"['ডিমের', 'তরকারি', 'পরিমাণে', 'মাঝারি']","['ডিম', 'তরকারি', 'পরিমাণে', 'মাঝারি']",4
মাছের তরকারি চমৎকার লেগেছে ,1,মাছ তরকারি চমৎক লাগ,মাছের তরকারি চমৎকার লেগেছে,"['মাছের', 'তরকারি', 'চমৎকার', 'লেগেছে']","['মাছ', 'তরকারি', 'চমৎক', 'লাগ']",4
খিচুড়ি তুলনা মূলক ভাবে কম,2,খিচুড়ি তুলনা মূলক কম,খিচুড়ি তুলনা মূলক কম,"['খিচুড়ি', 'তুলনা', 'মূলক', 'কম']","['খিচুড়ি', 'তুলনা', 'মূলক', 'কম']",4
"হাঁসের গ্রেভির চেয়ে এটিতে তেলের পরিমাণটা খানিকটা বেশী, আর ঝালের পরিমাণও সামান্য বেশী। তবে হাঁসের মতো মুরগীর মাংসও বেশ শক্ত ছিলো। এখানেও প্রতি প্লেটে ৪ টুকরো ছিলো। এটিও স্বাদে এভারেজ।",2,হাঁস গ্রেভির চায় এটি তেলের পরিমাণ খানিক বেশী ঝাল পরিমাণ সামান্য বেশী হাঁস মুরগীর মাংস শক্ত ছিলো এখানে প্লেট টুকরো ছিলো এটি স্ এভারেজ,হাঁসের গ্রেভির চেয়ে এটিতে তেলের পরিমাণটা খানিকটা বেশী ঝালের পরিমাণও সামান্য বেশী হাঁসের মুরগীর মাংসও শক্ত ছিলো এখানেও প্লেটে টুকরো ছিলো এটিও স্ এভারেজ,"['হাঁসের', 'গ্রেভির', 'চেয়ে', 'এটিতে', 'তেলের', 'পরিমাণটা', 'খানিকটা', 'বেশী', 'ঝালের', 'পরিমাণও', 'সামান্য', 'বেশী', 'হাঁসের', 'মুরগীর', 'মাংসও', 'শক্ত', 'ছিলো', 'এখানেও', 'প্লেটে', 'টুকরো', 'ছিলো', 'এটিও', 'স্', 'এভারেজ']","['হাঁস', 'গ্রেভির', 'চায়', 'এটি', 'তেলের', 'পরিমাণ', 'খানিক', 'বেশী', 'ঝাল', 'পরিমাণ', 'সামান্য', 'বেশী', 'হাঁস', 'মুরগীর', 'মাংস', 'শক্ত', 'ছিলো', 'এখানে', 'প্লেট', 'টুকরো', 'ছিলো', 'এটি', 'স্', 'এভারেজ']",24
ডালে হলুদ বেশি ছিল,0,ডালে হলুদ ছিল,ডালে হলুদ ছিল,"['ডালে', 'হলুদ', 'ছিল']","['ডালে', 'হলুদ', 'ছিল']",3
সমুচা ভালো ছিলো,1,সমুচা ভালো ছিলো,সমুচা ভালো ছিলো,"['সমুচা', 'ভালো', 'ছিলো']","['সমুচা', 'ভালো', 'ছিলো']",3
